Text,Author,Likes
LET''S GO!,@CityPlannerPlays,849
I need a preview of bridges and ports expansion,@pedrothecorreia,592
Happy birthday Cites Skylines!️,@twodollarstwenty,568
"Happy Birthday Cities Skylines, my most played game",@OVERCHARGEDEGG,318
Woop woop,@BiffaPlaysCitiesSkylines,313
"Cities skylines helped me discover my passion for urbanism, which is a potential uni and career path for me now. It actually shaped my life. Thank you cities skylines, and happy 10th birthday!",@georgeoust,202
Congratulations on 10 years of Cities Skylines CO and PDX and to all the community who made this game so incredible! cheers to another 10 more years.,@sully_skylines,184
"This is absolutely the best community, through the thousands of hours of joy it has given I can genuinely say my life would be quite different without this game.  Congrats on 10 years CO and Paradox!!  Can''t wait for the next 10!",@fewcandy,125
Its crazy how Colossal Order manages to make people wish that the weekend is over,@maiku8192,106
"Bugs fixing would be sweeeeet, new content also",@Jf-dm8pd,81
"Parabéns, Cities Skylines!🇧🇷",@BarbosaCities,50
"Happy birthday, Cities Skylines! This game has genuinely changed my life, and I couldn''t be happier about it.",@bsquiklehausen,46
"I was there at the beginning, and I''m here now too!",@citymanlive,45
My life has completely changes cause you guys Thank you FOR EVERYTHING!! It feels AMAZING to be a part of this community!!!! Happy Birthday Cities Skylines,@Restlessssssssss,33
"To put that into perspective, the launch date of Simcity 2000 to Simcity 4 is 10 years.",@Hannodb1961,23
"10 years already?!When I was a kid, I never imagined that there were so many others who liked creating imaginary cities. Such a great community of players.️",@gfv74,23
"The briefest of teases of Smilies'' Emerging Downtown pack for CS1 has me super excited, I''m happy to see CS1 still getting love via content creator packs from well known members of the community as CS2 just never vibed with me personally.",@KingDavidCreates,17
"Congratulation to Colossor Order for 10 year Anniversary! I''ve been your loyal customer to both Cities I & II. I''ve played your game since when I was highschool all the way to the University and to still now. Thanks to your game, it really helped me to find my passion and build my career, now I am Civil Engineer which I work at Traffic Engineering Department for my residing city. Surprisingly, there is lot of people in my department who plays Cities Skyline because it is just that good and can do whatever they want to do. This game will go forever until I die and I hope to see another Cities III or IV or more in my life!  Thanks again for creating such a wonderful game :)",@geonheecho590,16
At3:02I saw the smile face. Love that. Love the game. Congratulations,@rileychamp4951,15
And thank you for 10 years of cities. Both games have given me countless hours of enjoyment.,@tyronedlisle4412,10
